品牌,新车价格,里程(万公里),价格,
日产,27.04,4.8,11.68,
长安,17.5,1.77,11.86,
荣威,21.35,3.35,14.58,
Polestar极星,46.71,3.39,14.88,
宝马,61.41,4.18,17.78,
广汽传祺,26.21,3.14,18.18,
坦克,24.12,4.11,18.33,
别克,30.31,1.65,23.18,
奔驰,35.87,2.21,24.58,
沃尔沃,47.6,2.96,27.16,
宝马,47.59,3.69,28.28,
宝马,55.78,5.14,28.98,
现代,16.04,4.15,8.22,
长安,7.98,1.85,3.98,
荣威,18.92,9.22,4.96,
奥迪,23.98,4.58,8.96,
斯柯达,17.05,2.76,8.98,
丰田,9.96,3.18,5.81,
smart,15.14,6.25,5.98,
日产,17.37,8.88,5.98,
荣威,16.59,3.27,6.58,
起亚,15.95,6.59,6.98,
福特,21.79,6.77,6.98,
福特,13.73,9.16,2.63,
大众,9.94,10.34,3.18,
哈弗,14.71,7.33,3.26,
大众,8.87,10.5,3.33,
起亚,9.09,7.57,3.38,
福特,16.38,7.91,3.46,
野马汽车,10.4,4.39,3.58,
野马汽车,11.51,5.89,3.58,
五菱汽车,5.44,3.24,3.98,
东风风光,11.65,5.65,4.31,
长安,16.49,2.65,4.33,
上汽大通MAXUS,15.32,5.03,4.96,
福特,16.14,3.18,5.08,
宝骏,10.85,6.1,5.76,
吉利汽车,10.41,1.85,6.23,
日产,13.59,5.24,6.38,
哈弗,17.29,6.79,6.38,
长安,12.39,5.38,6.88,
长安,10.86,1.26,7.38,
大众,14.39,2.28,7.38,
奇瑞,14.5,2.91,7.56,
日产,17.48,3.84,7.78,
哈弗,13.85,4.8,7.78,
海马,15.93,2.22,7.88,
日产,14.17,3.19,8.21,
现代,12.95,1.74,8.39,
本田,24.56,9.57,8.78,
大众,15.51,1.96,8.81,
广汽传祺,14.82,6.62,9,
丰田,14.83,1.01,9.33,
三菱,19.59,5.24,9.43,
本田,15.17,1.32,9.45,
斯柯达,23.68,6.6,9.53,
哈弗,14.85,3.36,9.58,
大众,17.16,5.31,10.08,
长安,18.15,2.78,11.32,
长安,20.7,1.89,13.08,
北京,22.07,2.03,14.36,
大众,30.1,1.87,17.98,
福特,30.31,5.7,18.08,
东南,21.79,8.62,3.18,
大众,16.38,5.22,7.38,
别克,21.02,9.5,7.99,
荣威,7.97,1.87,4.26,
大众,9.09,3.93,4.78,
广汽传祺,13.39,8.15,4.88,
吉利汽车,9.3,3.81,5.46,
大众,22.01,7.8,7.06,
别克,29.66,1.25,17.58,
现代,9.2,10.39,2.46,
五菱汽车,4.08,1.97,2.98,
雪佛兰,11.52,10.02,3.18,
雪佛兰,10.3,5.06,4.13,
福特,9.3,7.09,4.19,
荣威,8.87,5.17,4.22,
雪佛兰,12.83,5.49,4.99,
起亚,14.27,8.27,5.06,
大众,11.96,3.94,5.26,
铃木,9.19,5.38,5.58,
别克,17.6,4.16,6.39,
大众,16.49,2.16,6.98,
魏牌,14.83,4.03,7.38,
长安,13.07,3.49,7.48,
长安,14.17,4.79,8.05,
别克,20.69,5.99,8.86,
大众,34.1,12.98,8.98,
大众,18.74,5.36,9.88,
大众,20.48,3.16,10.58,
小鹏,22.78,1.13,11.68,
本田,34.75,2.98,22.88,
福特,40.31,6.8,24.68,
奇瑞,7.76,2.76,5.18,
现代,14.27,6.84,6.21,
雪佛兰,15.39,5.88,6.58,
长安欧尚,11.08,2.89,7.28,
大众,16.72,7.2,7.86,
大众,15.4,6.08,7.96,
魏牌,21.35,5.38,8.49,
大众,19.14,7.16,8.58,
现代,15.94,5.42,8.89,
Jeep,19.58,5.49,9.22,
长安,14.17,1.28,9.81,
长安,15.06,1.57,9.98,
福特,21.79,3.65,10.38,
日产,17.61,3.06,10.48,
马自达,17.37,4.09,10.58,
宝马,25.22,4.02,10.69,
比亚迪,17.25,2.98,10.79,
日产,21.24,4.03,11.78,
本田,20.35,6.01,12.18,
Polestar极星,46.71,2.73,13.98,
Polestar极星,46.71,2.07,14.38,
本田,31.42,6.44,16.68,
红旗,41.54,4.37,17.18,
大众,41.28,7.98,17.23,
沃尔沃,38.08,0.98,20.26,
大众,35.86,3.53,21.98,
宝马,47.59,2.58,28.78,
大众,13.06,7.61,3.88,
大众,9.31,6.93,4.28,
斯柯达,12.18,8.51,4.98,
别克,14.5,8.18,5.06,
大众,11.62,3.72,5.18,
东风风光,8.19,0.04,5.98,
宝骏,10.62,2.93,5.98,
长安,10.86,2.07,6.18,
雪佛兰,13.18,3.26,6.18,
宝骏,11.85,3.65,6.28,
现代,13.72,4.34,6.38,
Jeep,20.35,7.47,6.58,
本田,15.6,9.7,6.58,
长安,13.94,5.81,6.68,
广汽传祺,14.83,4.59,6.88,
大众,12.63,3.26,7.18,
斯柯达,18.15,6.24,7.18,
别克,17.71,1.45,7.58,
别克,19.08,3.7,7.68,
大众,14.07,2.04,7.89,
哈弗,16.29,2.67,7.98,
大众,15.4,3.72,8.06,
日产,14.17,2.67,8.18,
大众,18.58,5.49,8.68,
名爵,15.27,3.09,8.76,
大众,16.72,5.41,8.86,
本田,17.71,7.67,9.18,
吉利汽车,15.16,1.17,9.22,
大众,17.41,3.39,9.38,
吉利汽车,12.95,0.91,9.41,
小鹏,19.14,3.71,9.78,
奥迪,35.45,4.25,9.78,
日产,15.28,1.5,9.88,
哈弗,18.81,2.43,11.88,
本田,22.56,6.17,13.48,
本田,20.35,5.39,13.78,
广汽传祺,26.21,6.06,15.48,
别克,26.99,2.86,16.18,
本田,32.85,6.4,19.73,
大众,40.28,5.47,21.18,
凯迪拉克,48.02,4.96,21.98,
奔驰,39.96,6.36,24.68,
日产,71.59,9.79,24.98,
大众,8.87,4.6,3.98,
东风风行,8.2,6.65,4.18,
斯柯达,13.73,5.82,4.58,
荣威,16.93,5.86,4.78,
魏牌,21.46,1.37,9.98,
长安欧尚,18.81,0.2,11.38,
别克,30.31,5.6,14.88,
哈弗,13.63,9.79,4.08,
大众,12.39,10.13,4.08,
长安,12.07,8.44,6.38,
魏牌,18.39,3.6,7.16,
长安,14.17,3.25,9.78,
五菱汽车,6.21,5.96,3.08,
五菱汽车,4.08,0.28,3.18,
捷途,10.41,9.96,4.78,
起亚,9.3,6.84,5.53,
荣威,10.19,4.69,5.78,
起亚,9.3,2.63,6.28,
福特,12.72,2.54,6.36,
五菱汽车,9.28,0.27,6.98,
长安,13.07,1.7,8.65,
起亚,15.95,3.73,9.06,
领克,16.93,1.82,9.08,
奇瑞,17.93,1.04,10.13,
日产,21.24,5.24,12.59,
大众,38.1,3.54,20.98,
凯迪拉克,45.78,7.13,26.88,
大众,10.19,1.55,5.21,
五菱汽车,6.65,7.42,3.88,
马自达,12.96,7.56,4.86,
现代,14.27,3.93,6.51,
本田,29.64,5.57,14.38,
名爵,8.18,6.93,1.86,
凯翼,6.2,5.98,2.28,
菲亚特,14.71,5.42,2.7,
现代,20.8,10.56,3.2,
大众,12.45,8.72,3.68,
现代,5.99,7.12,4.29,
大众,15.54,10.14,4.82,
雪佛兰,12.61,3.55,5.12,
标致,21.34,8.62,5.29,
吉利汽车,10.3,1.28,5.91,
现代,9.86,3.04,5.92,
斯柯达,17.04,8.55,6.03,
现代,18.59,7.64,6.08,
福特,12.72,4.11,6.18,
日产,15.71,6.9,6.38,
大众,14.39,2.37,6.58,
长安,19.25,6.03,6.73,
日产,13.59,8.09,7.02,
哈弗,15.71,6.84,7.96,
日产,17.48,4.77,8.08,
大众,16.38,5.41,8.28,
别克,21.02,7,8.41,
长安,14.17,7.75,8.43,
本田,14.82,4,9.18,
大众,15.72,1.01,9.28,
大众,16.72,2.95,9.41,
大众,15.61,1.44,9.45,
本田,20.36,8.65,9.83,
本田,15.95,5.78,9.85,
大众,30.2,9.66,9.98,
比亚迪,14.38,1.49,10.01,
比亚迪,14.15,0.15,10.39,
大众,15.72,3.36,10.58,
别克,22.58,5.02,11.12,
大众,21.35,5.7,11.26,
日产,22.52,3.96,11.28,
凯迪拉克,30.75,5.13,12.26,
本田,21.79,1.05,15.91,
别克,35.86,7.2,18.08,
大众,37.08,7.12,18.28,
奥迪,37.64,4.56,19.28,
奔驰,38.85,5.06,21.28,
路虎,70.83,5.31,31.48,
北京,19.3,3.66,7.15,
别克,24.57,2.72,14.38,
长安欧尚,8.73,1.35,5.08,
大众,11.63,1.72,7.68,
现代,20.36,7.11,7.78,
标致,15.92,1.5,7.98,
本田,15.94,5.53,8.41,
日产,14.84,1.53,9.38,
福特,21.79,6.4,9.98,
Polestar极星,46.71,2.73,13.78,
大众,21.14,百公里内,14.78,
林肯,31.42,1.68,19.78,
别克,37.63,3.3,21.08,
沃尔沃,44.4,2.97,25.98,
奥迪,127.69,6.93,57.98,
哈弗,7.43,8.3,2.7,
五菱汽车,4.61,1.48,2.88,
哈弗,10.41,4.27,4.98,
大众,10.19,3.38,5.35,
宝骏,9.52,3.67,5.38,
哈弗,9.53,2.29,6.18,
哈弗,12.19,4.69,6.78,
起亚,19.48,7.75,6.93,
日产,14.06,5.03,6.98,
日产,14.17,2.51,7.58,
荣威,15.82,3.84,7.81,
大众,14.28,1.78,7.98,
大众,15.4,5.55,7.98,
大众,16.2,4.89,8.08,
广汽传祺,14.49,5.78,8.08,
丰田,14.83,1.83,8.09,
启辰,12.61,0.93,8.18,
魏牌,21.35,4.72,8.25,
日产,14.84,5.3,8.76,
本田,17.04,5.68,8.88,
起亚,16.94,6.11,8.88,
领克,20.36,4.31,9.58,
大众,17.04,2,11.38,
大众,20.69,3.77,11.55,
大众,26.45,7.89,12.08,
大众,22.91,6.44,12.38,
大众,41.28,7.59,16.38,
坦克,24.34,2.66,19.53,
奔驰,37.16,2.32,29.28,
奥迪,47.04,0.03,33.18,
宝马,48.77,3.91,34.58,
奥迪,61.66,10.86,11.19,
奔驰,49.17,0.91,39.78,
日产,21.24,2.52,12.38,
坦克,24.45,0.25,20.88,
奇瑞新能源,8.63,3.26,5.28,
吉利汽车,13.73,3.17,7.18,
大众,16.49,3.73,7.83,
吉利汽车,5.77,1.72,2.43,
长安,7.1,9.51,2.58,
哈弗,9.32,5.71,5.51,
本田,18.48,4,7.75,
日产,14.84,3.72,8.75,
日产,21.24,2.83,11.35,
大众,24.26,8.4,12.93,
奔驰,32.63,3.49,13,
坦克,24.12,4,18.51,
铃木,9.19,6.21,5.15,
哈弗,12.97,3.49,5.76,
别克,20.69,3.04,9.58,
奥迪,32.39,2.64,12.18,
北汽新能源,7.73,0.12,3.88,
标致,17.03,9.36,3.98,
哈弗,12.17,5.88,4.71,
别克,17.6,8.48,5.12,
本田,15.03,7.06,5.98,
哈弗,12.64,5.45,6.28,
别克,14.39,1.8,6.36,
大众,16.1,3.74,7.88,
本田,15.27,0.52,9.39,
广汽传祺,14.63,0.87,9.88,
奔驰,32.41,5.37,12.88,
Polestar极星,46.71,2.75,14.68,
五菱汽车,4.08,1.01,2.68,
哈弗,9.64,1.92,2.98,
雪佛兰,10.3,7.32,3.78,
北汽新能源,7.73,0.01,3.88,
北汽新能源,7.73,0.26,3.88,
标致,21.12,8.55,3.98,
福特,16.38,6.49,4.06,
东风风光,12.97,7.92,4.38,
名爵,9.19,1.92,4.58,
现代,17.04,10.47,4.58,
别克,14.5,7.62,4.7,
大众,10.19,7.25,4.73,
日产,14.17,9,5.09,
哈弗,13.3,7.89,5.18,
马自达,16.82,4.77,5.22,
哈弗,14.52,7.34,5.88,
雪佛兰,13.51,1.6,5.98,
日产,15.71,6.65,6.08,
斯柯达,17.04,8.83,6.58,
大众,14.28,4.83,7.78,
荣威,15.93,6.08,7.88,
雷诺,21.8,8.12,8.08,
魏牌,14.83,2.59,8.18,
荣威,20.8,6.22,8.38,
丰田,15.27,6.32,8.58,
领克,15.8,2.4,8.98,
大众,16.83,3.21,9.18,
大众,19.69,2.7,10.3,
大众,19.18,4.15,10.78,
大众,22.56,2.39,11.68,
大众,24.68,7.57,12.88,
大众,26.99,3.08,13.6,
凯迪拉克,40.31,7.79,13.98,
Jeep,32.51,5.38,14.28,
现代,25.43,0.37,16.98,
本田,32.88,6.55,18.98,
丰田,33.61,5.42,21.28,
本田,15.71,7.28,6.18,
长安,15.28,2.98,8.88,
东风风行,16.16,1.95,9.98,
大众,19.36,1.42,10.55,
大众,28.54,4.01,15.38,
荣威,9.18,7.32,2.63,
起亚,10.3,6.32,3.76,
奔腾,10.4,7.2,4.08,
现代,18.15,8.89,4.28,
荣威,5.87,1.69,4.32,
大众,11.3,4.34,5.29,
欧拉,10.27,0.96,6.15,
哈弗,11.41,5.6,6.56,
大众,18.15,7.92,6.81,
广汽传祺,13.06,7.46,7.25,
丰田,14.6,5.11,7.45,
大众,22.03,6.54,7.58,
大众,14.17,2.26,7.66,
哈弗,12.07,2.14,7.78,
斯柯达,18.82,5.75,7.81,
