品牌,新车价格,里程(万公里),价格,
大众,18.37,3.99,9.7,
日产,22.52,7.09,10.8,
大众,16.98,3.97,11.8,
别克,26.99,7.13,12.2,
大众,19.37,1.52,13.3,
福特,44.75,2.37,13.9,
大众,24.9,8.05,13.9,
奥迪,46.15,12.54,15.78,
别克,30.31,2.18,16.1,
大众,24.79,1.98,17.68,
奔驰,39.3,6.98,17.9,
奔驰,39.29,5.69,19.9,
奔驰,44.16,7,20.4,
本田,34.75,5.79,22.1,
特斯拉,44.16,3.22,26.19,
奔驰,55.67,8.19,38.5,
长城,7.54,8.93,1.32,
东风风光,5.89,2.87,1.6,
东风风光,6.66,3.42,1.68,
现代,9.2,4.74,1.92,
比亚迪,14.84,8.54,2.52,
别克,10.63,8.04,2.64,
名爵,9.19,4.4,2.7,
福特,13.06,8.36,3.2,
荣威,7.97,0.76,3.8,
捷达,10.73,2.88,4.1,
欧拉,8.62,6.85,4.2,
大众,13.95,8.2,4.5,
哪吒汽车,7.41,3.65,4.7,
零跑汽车,7.08,0.21,4.8,
大众,15.28,7.81,4.9,
现代,17.04,7.39,5,
比亚迪,12.63,4.77,5.43,
本田,9.96,3.15,5.6,
奔腾,13.06,2.61,5.8,
大众,15.28,4.84,5.88,
吉利汽车,13.73,3.58,5.9,
大众,13.29,1.33,6,
雪佛兰,19.26,6.06,6,
大众,13.29,3.28,6.7,
荣威,13.17,2.05,6.8,
捷达,12.28,2.02,7.2,
斯柯达,19.92,6.6,7.3,
日产,14.39,0.82,7.5,
MINI,20.92,6.78,7.56,
荣威,14.94,4.1,7.7,
哈弗,12.51,2.18,7.8,
Jeep,29.25,6.13,7.98,
大众,15.94,5.63,8,
大众,17.71,6.86,8.17,
奥迪,25.45,5.55,8.3,
大众,15.61,5.67,8.5,
别克,29.2,5.38,8.7,
大众,17.16,3.99,8.99,
大众,17.52,4.46,9.25,
凯迪拉克,32.96,9.73,9.28,
福特,27.77,6.87,9.3,
大众,19.92,8.07,9.37,
别克,21.35,2.61,9.76,
丰田,17.15,5.03,9.8,
埃安,17.89,3.14,10.1,
大众,18.74,4.41,10.1,
中兴,14.88,0.06,10.9,
广汽传祺,17.04,1.38,10.9,
长安,15.95,4.6,10.9,
奔驰,29.88,5.24,10.9,
本田,17.49,3.1,11,
宝马,43.08,4.19,11.48,
大众,17.04,4.08,11.78,
丰田,37.26,16.14,11.99,
大众,27.89,1.9,12,
本田,21.79,2.92,12,
大众,28.55,3.33,12.24,
大众,21.14,7.68,12.5,
荣威,23.66,0.93,12.6,
路虎,44.16,7.84,13.4,
奔驰,25.88,6.13,13.47,
小鹏,30.64,1.51,14.4,
奥迪,47.79,13.67,14.4,
大众,26.34,3.94,16.3,
林肯,29.2,6.77,16.4,
特斯拉,29.09,百公里内,24.7,
奔驰,33.62,1.51,25.1,
本田,35.08,3.91,25.4,
本田,35.08,1.62,26.07,
奔驰,47.59,7.35,26.4,
奥迪,46.93,4.94,28.1,
奥迪,101.27,13.67,29.4,
奔驰,44.5,5.82,31.28,
奔驰,44.5,3.7,31.7,
沃尔沃,70.62,8.5,31.8,
奥迪,50.29,2.95,32.8,
丰田,37.44,4.14,32.8,
奔驰,107.35,5.89,40.3,
沃尔沃,71.17,1.22,43.6,
长城,7.65,5.88,0.96,
广汽传祺,14.17,9.81,1.2,
别克,16.8,9.1,2.04,
北汽新能源,6.63,1.7,2.1,
广汽传祺,19.7,5.81,2.22,
东南,9.64,7.69,2.5,
陆风,16.82,9.28,2.5,
福特,13.23,10.58,2.64,
东南,9.64,9.1,2.76,
东风风光,7.78,2.63,3.6,
东南,10.41,3.5,3.93,
大众,11.96,3.5,4.7,
现代,16.26,6.72,5.2,
吉利汽车,11.51,6.92,5.2,
哈弗,15.94,5.95,5.4,
雪铁龙,19.24,4.53,6.72,
三菱,21.51,9.78,7.8,
吉利几何,18.46,5.06,9,
福特,28.1,8.69,9.3,
埃安,18.57,4.45,9.84,
本田,21.46,4.46,12.4,
领克,18.82,0.73,13.4,
本田,21.46,0.45,14.4,
宝马,55.75,11.76,15,
广汽传祺,21.79,1.56,18.2,
福特,41.44,1.83,22.8,
雷克萨斯,35.22,3.14,25.6,
长安,7.43,6.9,1.56,
现代,11.51,7.94,1.68,
雪铁龙,9.74,8.16,1.76,
大众,9.31,7.78,2.46,
雪佛兰,10.52,9.09,2.5,
现代,5.99,7.09,3,
江汽集团,10.29,4.98,3.1,
比亚迪,10.75,3.29,3.2,
斯柯达,11.52,7.71,3.3,
福特,14.28,10,3.5,
福特,14.38,5.59,3.6,
福特,14.6,6.48,3.7,
五菱汽车,6.63,1.68,3.8,
吉利汽车,17.82,8.16,4.03,
魏牌,17.06,6.55,4.1,
福特,15.82,3.55,4.38,
比亚迪,13.74,7.91,4.5,
宝骏,11.07,4.23,4.56,
哈弗,13.3,2.13,4.92,
起亚,16.04,4.92,5.4,
奔腾,13.83,7.09,5.4,
吉利汽车,12.5,3.5,5.66,
名爵,13.72,2.52,5.74,
三菱,16.59,3.72,5.76,
本田,15.6,7.82,6.18,
东风风行,14.39,3.55,6.3,
捷达,11.84,4.25,6.39,
大众,18.93,8.73,6.62,
别克,16.27,7.91,6.69,
大众,17.6,8.35,6.7,
大众,18.25,7.78,7.05,
长安,10.41,0.28,7.2,
捷达,13.61,0.47,7.3,
大众,18.58,7.23,7.37,
长安,13.07,2.42,7.5,
埃安,14.38,7.32,8.4,
大众,15.94,4.83,8.63,
马自达,22.57,6.78,9.59,
起亚,16.5,3.25,10.3,
宝马,31.85,5.76,10.3,
奔驰,30.53,9.51,10.7,
奥迪,45.82,15.92,11.7,
大众,26.45,8.56,11.8,
哈弗,16.71,0.16,12.8,
林肯,33.63,5.65,13.3,
零跑汽车,24.32,2.6,14.2,
凯迪拉克,32.51,6.29,14.4,
零跑汽车,26.09,2.75,15.3,
欧拉,26.98,2.23,16.4,
本田,24.78,3.44,16.4,
奔驰,34.1,0.64,17.9,
宝马,38.08,3.89,17.9,
福特,30.31,1.01,19.4,
奔驰,55.76,2.05,19.8,
奔驰,40.39,3.99,24.5,
奔驰,56.12,4.79,27.8,
奔驰,56.12,3.23,34,
宝马,99.82,7.57,42,
奔驰,66.4,4.61,45.8,
宝骏,10.42,6.61,2.64,
大众,15.49,9.46,3.3,
大众,14.17,3.78,3.6,
荣威,13.72,4.16,3.6,
荣威,14.71,3.83,4.5,
长安,8.2,1.24,4.7,
捷途,12.4,5.93,5.6,
广汽传祺,17.04,6,6.1,
凯迪拉克,31.4,5.1,11.4,
宝马,34.1,6.56,12.8,
北京,20.36,0.66,15.12,
丰田,22.57,1.23,16,
海马,12.29,10.49,1.08,
铃木,4.65,1.31,1.8,
雪铁龙,13.06,7.02,2.1,
雪佛兰,7.54,5.59,2.6,
福特,12.62,7.47,2.6,
雪铁龙,9.74,6.07,2.7,
雪佛兰,10.3,6.97,3.7,
现代,14.6,9.77,3.7,
哈弗,14.38,7.76,4.2,
捷达,8.52,1.5,4.8,
大众,10.19,2.95,5,
现代,16.59,5.99,5.9,
奇瑞,10.08,3.02,6.1,
雪佛兰,18.71,4.3,6.1,
大众,13.62,5.53,6.54,
别克,18.82,5.06,6.8,
哈弗,12.97,5.35,6.86,
大众,16.27,5.28,6.9,
大众,15.84,3.74,7.6,
宝马,35.89,11.05,8.4,
长安,15.06,3.7,9.03,
大众,27.45,7.83,9.2,
长安,15.06,2.05,9.9,
马自达,22.46,6.42,10.1,
哈弗,15.5,1.69,10.3,
别克,30.31,7.38,10.3,
吉利汽车,17.47,0.75,11.4,
沃尔沃,35.76,8.75,12.4,
北京,20.36,2.16,12.7,
广汽传祺,15.93,1.46,13,
大众,26.78,9.33,14,
宝马,33.29,5.19,14.7,
捷豹,50.8,7.39,16,
坦克,24.12,2.26,18.19,
大众,40.28,6.23,23.26,
奔驰,59.77,7.09,40.3,
奥迪,53.57,0.01,42.8,
大众,9.94,9.91,3,
本田,25.93,17.23,3.1,
斯柯达,10.52,8.43,3.8,
大众,16.48,5.49,4.9,
起亚,13.61,3.26,5.2,
日产,19.03,8.95,6.6,
马自达,21.58,12.51,6.9,
奥迪,37.42,7.57,7.8,
日产,17.93,5.25,8.5,
本田,17.71,6.88,8.7,
别克,26.22,6.76,14.36,
大众,26.27,4.7,15.3,
丰田,12.4,14.84,1.7,
斯柯达,8.42,4.75,3.72,
大众,10.19,6.1,4.57,
威马汽车,23.38,7.42,5.2,
哈弗,9.54,1.99,5.58,
大众,12.75,7.86,5.6,
大众,18.15,15.07,5.75,
日产,15.99,4.78,6,
吉利汽车,8.53,0.63,6.2,
日产,15.71,2.33,6.2,
哈弗,15.5,4.99,9.5,
丰田,24.82,5.81,15,
丰田,33.07,8.29,15.2,
海马,6.42,12.89,1.2,
雪佛兰,8.64,5.2,2.1,
长安,5.97,0.23,3.5,
别克,16.72,4.52,5.2,
丰田,9.96,0.81,5.8,
大众,17.6,4.29,5.9,
哈弗,15.94,5.2,5.9,
日产,14.17,4.52,7.5,
大众,26.11,8.6,7.6,
领克,17.6,3.65,9.5,
宝马,36.55,11.72,11.7,
沃尔沃,45.49,8.73,15.58,
埃安,32.15,0.88,20,
丰田,124.85,6.82,87,
现代,10.4,15.58,0.6,
长安,7.65,2.21,1.3,
雪佛兰,13.95,12.59,2.4,
起亚,16.93,8.88,2.6,
福特,11.41,4.67,3.85,
吉利汽车,11.18,7.47,4.7,
长安,10.52,0.76,5.15,
丰田,13.5,7.7,6.1,
哈弗,14.74,6.75,6.8,
现代,17.04,3.02,6.88,
捷达,11.84,2.99,6.9,
比亚迪,13.6,3.47,7.2,
起亚,13.28,6.75,7.8,
吉利汽车,12.63,1.19,8.3,
起亚,15.95,4.84,8.3,
宝马,25.44,6.18,8.9,
大众,16.05,4.43,9,
日产,21.13,2.95,9.3,
大众,23.69,10.44,9.3,
大众,16.83,1.87,9.5,
丰田,15.49,1.9,9.5,
魏牌,21.35,1.41,9.9,
哈弗,16.05,4.22,9.9,
别克,21.35,2.32,10.9,
红旗,20.36,0.02,14.98,
大众,26.27,5.43,15.9,
斯巴鲁,26.88,2.99,15.98,
大众,41.28,7.76,16.4,
坦克,24.12,5.19,18.4,
比亚迪,38.37,2.31,22.6,
奔驰,53.57,2.81,43.1,
保时捷,134.01,0.99,111,
别克,15.93,12.22,1.08,
东风风神,10.4,11.1,1.3,
众泰,8.17,4.34,1.9,
五菱汽车,4.61,2.79,2.2,
大众,8.87,6.76,2.5,
斯柯达,15.94,5.07,4.5,
本田,9.52,5.63,5.5,
奥迪,34.77,13.52,7.8,
宝马,34.1,7.14,11.8,
本田,22.56,12.26,13.4,
奥迪,30.53,4.74,16.7,
宝马,55.75,12.78,16.8,
宝马,39.62,2.63,17.9,
奔驰,66.6,12.13,20.4,
丰田,43.76,9.27,25.6,
长安,8.2,6.58,2.1,
奇瑞,6.77,4.17,2.4,
江汽集团,7.97,5.47,2.6,
大众,12.39,7.41,2.7,
东风纳米,8.61,0.96,4,
日产,12.61,8.63,4,
本田,14.83,8.79,4.2,
宝骏,10.05,0.68,4.8,
大众,17.6,8.9,5.4,
长安,10.86,2.47,5.5,
丰田,14.27,9.3,5.6,
别克,13.73,3.91,5.9,
哈弗,13.63,5.76,6,
比亚迪,12.16,2.46,6.6,
本田,15.71,6,6.6,
丰田,14.83,4.69,7.1,
本田,20.36,8.22,7.1,
比亚迪,12.07,1.59,7.3,
丰田,17.04,5.95,7.6,
丰田,14.71,2.45,7.9,
别克,26.99,8.53,8.5,
日产,17.61,1.35,9.6,
奥迪,21.33,4.71,9.6,
日产,26.92,7.36,10.1,
林肯,45.71,3.56,16.4,
奥迪,31.3,2.4,17.4,
本田,22.9,0.77,17.6,
奔驰,36.62,4.59,19.4,
奥迪,35.76,5.9,19.6,
奥迪,38.53,6.95,19.6,
奔驰,55.77,9.72,25.6,
奥迪,48.48,5.62,29.2,
奔驰,50.02,7.6,30.4,
奔驰,50.8,2.73,36.8,
奔驰,81.89,1.27,62.3,
长安凯程,7.66,5.73,2.4,
宝骏,8.2,5.24,2.64,
东风纳米,7.06,2.28,3.7,
现代,7.76,2.22,4.4,
哈弗,9.32,2.26,4.68,
大众,15.05,9.76,5.7,
日产,17.93,6.67,7.8,
大众,18.82,8.63,8.3,
长城,17.04,3,9.6,
埃安,18.57,3.08,10.8,
比亚迪,23.66,0.74,16.38,
特斯拉,26.1,0.16,20.9,
北汽幻速,8.2,5.03,1.68,
宝骏,5.98,3.79,2.38,
五菱汽车,5.3,1.37,2.4,
起亚,15.27,8.8,2.8,
吉利汽车,11.74,9.44,3.65,
奇瑞,8.09,7.75,3.68,
雪铁龙,13.72,6.71,3.72,
吉利汽车,8.74,6.54,3.96,
起亚,16.93,12,3.96,
宝骏,10.4,1.21,4.3,
雪佛兰,14.28,5.49,4.58,
斯柯达,10.41,5.63,5.38,
哈弗,15.94,8.19,5.4,
大众,24.78,12.56,5.48,
日产,15.06,6.91,5.76,
别克,23.68,9.69,5.77,
丰田,13.5,5.37,6,
马自达,17.37,6.35,6.72,
日产,12.48,1.21,6.8,
马自达,15.94,4.27,6.96,
比亚迪,13.49,2.24,7.88,
比亚迪,14.15,0.92,9,
别克,20,1.3,9.1,
大众,18.47,1.02,10.3,
林肯,31.97,5.36,10.56,
比亚迪,17.92,4.11,10.58,
本田,23.01,5.76,12.9,
奥迪,25.88,1.34,15.4,
大众,23.25,1.61,16,
本田,30.01,3.83,17.2,
奔驰,38.28,6.45,26.1,
特斯拉,39.18,1.24,29.1,
路虎,92.22,9.8,32.3,
日产,62.48,6.33,33.3,
丰田,46.43,5.2,34.2,
奥迪,95.41,7.84,43.3,
奔驰,105.69,4.69,70,
日产,9.96,8.41,2.5,
东南,7.98,4.22,3.2,
大众,8.87,6.92,3.2,
哈弗,12.39,4.27,3.8,
长安,10.41,2.31,4.4,
福特,15.82,10.38,4.5,
哈弗,10.41,5.23,4.52,
宝骏,10.18,4.04,4.8,
长安,10.3,2.82,4.88,
吉利汽车,12.61,5.82,5.52,
理念,19.79,5.81,6.3,
别克,30.32,13.93,6.6,
斯柯达,23.68,7.73,8.8,
宝马,34.77,6.98,13.5,
丰田,38.23,2.95,16,
日产,30.31,1.97,16.4,
沃尔沃,45.49,4.15,17.9,
丰田,39.54,5.89,29.1,
铃木,5.54,7.48,0.96,
雪佛兰,7.76,8.01,1.68,
起亚,9.09,5.85,2.2,
吉利汽车,9.3,10.23,2.4,
江汽集团,7.97,6.3,2.63,
福特,11.18,5.61,2.64,
宝骏,12.5,8.66,3.36,
北京汽车,7.1,1.62,3.4,
别克,13.73,10.59,3.6,
长安凯程,5.97,1.33,3.7,
雪佛兰,10.4,1.71,4.32,
荣威,15.82,4.51,4.4,
大众,10.19,4.65,4.53,
现代,22.24,9.5,4.68,
日产,22.24,8.35,6.9,
本田,15.71,6.3,7.2,
广汽传祺,13.72,4.69,7.3,
本田,15.17,5.04,8.1,
现代,20.36,6.04,8.4,
日产,19.14,4.38,9.5,
大众,20.38,6.63,9.98,
别克,21.47,2.72,11.4,
大众,19.89,1.87,12.4,
大众,26.78,8.58,14.5,
奔驰,47.95,10.89,19.58,
本田,36.85,6.36,22.9,
MINI,33.49,0.46,24.58,
现代,12.61,7.49,1.9,
猎豹汽车,14.83,3.4,3,
吉利汽车,10.62,6.51,3.3,
奇瑞,7.98,3.93,3.5,
铃木,11.85,7.82,3.8,
雪佛兰,12.06,7.25,3.98,
现代,17.04,8.63,4.65,
别克,15.5,3.66,4.83,
日产,15.71,5.42,4.92,
比亚迪,16.72,7.53,5.1,
吉利汽车,12.61,4.68,5.2,
哈弗,13.08,4.28,5.6,
江淮瑞风,9.53,3.8,5.8,
宝沃,24.67,5.34,5.8,
长安,10.86,0.9,5.9,
日产,19.14,4.78,8,
凯迪拉克,39.2,8.76,8.38,
大众,26.11,6.07,8.9,
长安,13.29,百公里内,9.36,
斯柯达,17.05,2.94,9.4,
马自达,17.37,2.9,9.5,
广汽传祺,15.93,2.43,10.3,
哈弗,16.27,2.33,10.8,
广汽传祺,19.92,2.33,11.36,
红旗,22.57,1.91,12.9,
丰田,23.46,5.44,14.6,
蔚来,44.5,3.59,15,
大众,26.78,6.57,15,
大众,38.1,1.91,17,
理想汽车,39.15,6.04,21.7,
奥迪,51.83,4.7,23.6,
奥迪,95.41,7.58,44.7,
铃木,6.07,11.74,0.6,
比亚迪,8.53,8.28,0.96,
雪铁龙,10.4,4.78,1.5,
铃木,7.08,5.33,2.1,
铃木,5.54,6.1,2.2,
现代,6.88,7.37,3.3,
观致,18.15,6.8,3.77,
长安,10.41,3.56,3.8,
奇瑞新能源,8.84,1.47,4.2,
哈弗,12.06,5.23,4.2,
别克,16.72,8.98,4.32,
大众,13.72,7.04,4.5,
奇瑞新能源,9.17,1.49,5.2,
丰田,14.27,6.31,5.2,
大众,25.77,7.14,5.2,
吉利汽车,10.4,3.29,5.47,
MINI,27.56,9.66,5.5,
零跑汽车,8.95,1.03,5.8,
吉利汽车,10.29,3.45,5.8,
本田,9.96,5.65,5.8,
大众,14.28,6.26,5.8,
奇瑞新能源,7.64,0.16,5.98,
别克,14.39,2.72,6,
大众,12.5,5.82,6.1,
斯柯达,16.72,6.8,6.3,
奔驰,31.32,9.55,6.3,
魏牌,20.14,8.05,6.7,
比亚迪,13.6,5.16,6.8,
宝马,30.08,7.61,6.8,
雪佛兰,11.63,1.45,6.9,
本田,11.07,2.07,7,
魏牌,21.35,8.55,7.1,
五菱汽车,9.72,0.33,7.3,
哈弗,12.19,2.05,7.3,
日产,17.93,7.51,7.5,
长安,13.07,3.33,7.6,
大众,18.82,7.2,7.6,
吉利汽车,15.07,5.67,7.7,
比亚迪,10.39,0.6,8.28,
比亚迪,13.49,1.12,8.3,
别克,20.69,4.58,8.6,
宝马,113.23,16.48,8.8,
吉利汽车,17.93,4.62,9.2,
吉利汽车,14.83,2.23,9.3,
比亚迪,12.93,0.06,9.6,
大众,18.37,4.91,9.6,
别克,26.99,5.51,10,
比亚迪,17.25,3.63,10.1,
星途,15.06,1.34,10.3,
广汽传祺,21.02,2.1,10.8,
大众,17.71,4.32,11,
宝马,27.44,5.15,11.2,
奔驰,26.88,3.41,11.4,
别克,28.14,10.87,11.8,
吉利几何,18.46,8.53,11.95,
奥迪,29.84,5.64,12.1,
吉利汽车,17.47,0.83,12.2,
别克,22.58,2.69,12.4,
福特,15.93,1.05,12.78,
本田,22.91,2.32,13.2,
大众,25.81,6.56,13.6,
大众,24.57,6,13.7,
凯迪拉克,33.64,4.25,14.2,
领克,22.57,1.4,14.3,
红旗,19.25,百公里内,14.4,
别克,27,4.23,14.4,
路虎,45.27,6.52,14.4,
本田,30.01,8.09,14.7,
大众,26.34,5.31,14.9,
广汽传祺,21.79,5.96,14.9,
本田,23.34,3.7,15.1,
宝马,35.54,3.95,15.1,
丰田,22.57,2.31,15.2,
奔驰,55.76,4.79,16.4,
广汽传祺,20.36,2.87,16.9,
凯迪拉克,31.4,5.18,17.3,
本田,30.01,8.56,17.3,
广汽传祺,26.21,5.42,17.8,
本田,22.8,0.1,17.9,
本田,21.68,0.7,17.9,
丰田,27.04,2.65,18.7,
别克,29.09,7.84,19.77,
路虎,47.23,1.92,19.8,
林肯,30.31,3.91,20,
大众,23.25,百公里内,21.6,
大众,23.25,0.02,21.6,
大众,38.44,6.09,22.1,
别克,35.31,3.64,22.4,
丰田,34.42,5.52,22.4,
大众,25.35,0.39,22.6,
大众,39.2,3.34,23.1,
别克,41.39,6.84,23.1,
捷豹,66.52,3.21,24.4,
路虎,53.12,4.53,26.2,
奥迪,61.54,6.02,26.48,
大众,31.98,百公里内,26.6,
雷克萨斯,41.91,7.58,26.6,
宝马,43.61,3.03,27.28,
别克,38.51,5.13,28.5,
奥迪,46.93,2.31,33,
奔驰,50.02,2.84,33.8,
雪佛兰,13.07,8.17,1.56,
北京汽车,8.2,7.55,1.8,
大众,14.28,11.74,3,
五菱汽车,5.96,0.82,3.1,
标致,17.03,9.28,3.8,
大众,28.65,9.96,3.8,
雪佛兰,20.36,9.94,4.7,
大众,14.28,1.86,4.9,
日产,13.07,4.31,6.54,
三菱,18.15,8.78,7.3,
大众,18.82,8.08,7.56,
别克,17.7,5.18,7.8,
比亚迪,17.61,5.67,8.4,
丰田,22.13,7.07,8.4,
哈弗,15.5,3.14,8.5,
奥迪,34.77,12.61,8.5,
大众,18.04,5.55,8.7,
比亚迪,13.49,2.51,8.8,
魏牌,21.35,7.3,9.3,
MINI,26.32,3.86,10.5,
魏牌,21.35,4.85,10.5,
大众,24.68,4.36,12.9,
大众,21.03,2.67,14,
大众,26.78,5.67,15,
坦克,24.8,2.87,18.9,
奔驰,47.83,6.93,22,
别克,41.39,7.52,22.6,
奥迪,45.82,6.88,27.2,
林肯,122.13,4.97,58,
丰田,87.96,2.86,66,
江汽集团,14.67,5.36,1.68,
大众,9.63,10.34,2,
吉利汽车,10.3,5.53,3.2,
本田,21.47,12.29,4.8,
雪佛兰,13.51,3.29,5.1,
吉利汽车,11.07,5.6,5.4,
大众,15.05,3.95,5.41,
本田,12.17,6.22,5.6,
smart,13.03,7.34,5.6,
广汽传祺,16.37,9,5.6,
哈弗,12.97,5.13,5.9,
荣威,18.92,6,5.9,
大众,10.41,8.5,5.9,
日产,14.06,2.84,6.5,
大众,15.72,5.88,6.5,
吉利汽车,13.7,4.76,6.6,
大众,27.88,12.63,6.91,
smart,13.03,4.3,6.95,
日产,14.39,5.22,7.24,
丰田,18.15,7.37,7.3,
大众,20.81,9.58,7.3,
大众,15.94,4.83,7.4,
福特,28.1,5.22,7.9,
宝马,31.99,7.63,7.9,
大众,19.48,7.37,8,
smart,18.11,5.24,8.1,
别克,20.69,7.48,8.3,
别克,44.84,11.18,8.3,
日产,14.17,5.26,8.6,
大众,15.94,7.47,8.6,
吉利汽车,12.6,2.2,8.76,
大众,18.82,0.37,8.8,
大众,17.41,4.98,8.8,
魏牌,20.14,5.51,8.8,
日产,21.13,8.78,8.8,
宝马,26.99,5.64,8.88,
长安,15.95,4.44,8.95,
本田,20.36,7.21,9.2,
大众,27.45,9.37,9.25,
奔驰,30.3,5.66,9.3,
奥迪,22.2,8.17,9.8,
奥迪,35.45,8.01,9.9,
大众,19.18,6.05,10.3,
MINI,26.32,5.42,10.5,
哈弗,16.72,2.33,10.6,
本田,21.47,8,10.7,
丰田,16.16,1.47,11,
哈弗,16.61,2.6,11.1,
大众,20.14,1.53,11.4,
大众,29.2,8.96,12.25,
奥迪,32.39,8.23,12.3,
奔驰,30.3,5.65,12.4,
沃尔沃,40.19,8.1,12.6,
大众,31.08,7.42,13,
大众,27.1,7.29,13.2,
大众,24.26,7.05,13.4,
广汽传祺,24.44,9.66,13.4,
长城,17.04,0.58,13.6,
深蓝汽车,18.15,0.4,13.9,
路虎,57.76,7.99,14,
奔驰,29.75,4.52,15,
本田,33.65,8.69,15.1,
本田,22.56,2.8,15.3,
奥迪,32.18,5.5,16.5,
大众,23.25,1.29,16.6,
丰田,27.26,5.18,16.8,
Jeep,75.56,8.15,17,
特斯拉,30.28,2.86,17.1,
福特,47.27,8.61,17.1,
MINI,25.88,0.56,17.4,
大众,49.05,4.27,17.4,
丰田,25.82,4.62,17.6,
丰田,29.03,5.01,18.7,
沃尔沃,53.57,5.53,20,
丰田,32.51,5.78,20.2,
沃尔沃,41.74,7.92,20.2,
奔驰,44.3,4.13,20.4,
奔驰,47.83,8.51,20.4,
捷豹,99.96,7.09,20.8,
凯迪拉克,51.34,5.11,21,
丰田,33.61,8.21,21,
奔驰,39.29,7.45,21.4,
丰田,34.42,5.53,22.1,
特斯拉,35.53,1.63,22.2,
大众,40.28,4.95,23.4,
宝马,50.26,5.42,23.6,
路虎,46.49,0.47,25.6,
奥迪,46.49,3.18,27.4,
坦克,39.91,5.04,28.96,
雷克萨斯,45.42,0.82,29.4,
别克,42.49,5.85,29.4,
奔驰,49.14,3.08,30,
奔驰,47.26,3.27,30,
别克,38.51,1.09,31.1,
宝马,114.19,5.33,31.3,
奔驰,50.24,6.55,32.5,
奔驰,50.24,4.42,32.8,
大众,70.17,4,33.8,
大众,11.34,6.74,1.92,
雪铁龙,12.39,7.26,2.04,
大众,14.39,9.64,2.9,
起亚,11.84,5.39,3.1,
长安,8.87,2.3,4.2,
欧拉,9.83,2.58,5.5,
丰田,14.6,5.49,7.13,
奔腾,20.04,1.67,8.1,
欧拉,16.05,5.59,8.2,
奔腾,17.94,2.16,8.88,
福特,17.15,5.39,8.88,
哈弗,15.62,1.45,10.15,
长安,18.15,1.45,10.28,
宝马,31.85,4.8,10.48,
长城,20.36,4.59,11.48,
雪铁龙,20.45,1.66,11.68,
红旗,22.57,2.67,12.1,
长安,23.46,2.6,12.38,
别克,24.67,0.85,12.89,
腾势,35.85,4.15,13.6,
吉利汽车,20.96,1.28,14.78,
广汽传祺,21.12,3.92,15,
长城,21.24,2.98,15.08,
长城,21.35,1.97,15.78,
理想汽车,36.75,6.33,18.4,
大众,35.88,4.55,19.2,
海马,8.19,4.81,1.58,
铃木,7.09,5.53,2.08,
五菱汽车,5.44,4.97,3.1,
斯柯达,15.94,7.25,3.6,
哈弗,8.32,4.71,4,
别克,19.59,9.27,4.08,
吉利汽车,6.65,3.3,4.32,
吉利汽车,11.07,4.07,4.7,
丰田,14.27,5.4,4.82,
比亚迪,11.51,1.81,5.2,
雪佛兰,12.85,3.62,5.33,
大众,17.92,7.81,5.38,
比亚迪,10.64,4.54,5.45,
东南,13.73,1.53,5.54,
哈弗,10.97,3.4,5.55,
本田,12.88,4.81,5.6,
本田,17.93,10.99,5.6,
日产,12.63,4.97,5.87,
大众,11.74,4.58,5.89,
大众,10.41,7.15,5.98,
名爵,10.75,2.13,6.1,
日产,14.06,3.44,6.2,
雪佛兰,13.51,3.04,6.26,
本田,17.93,8.34,6.3,
东风风神,9.75,0.8,6.78,
大众,17.6,2.99,6.8,
比亚迪,12.62,3.26,6.8,
长安,12.95,5.24,6.88,
Jeep,20.35,2.49,7.1,
吉利几何,11.27,2.04,7.2,
现代,15.16,1.46,7.22,
大众,18.82,7.21,7.75,
比亚迪,15.73,2.79,7.88,
本田,29.25,9.98,7.9,
大众,18.58,6.86,8,
大众,18.8,6.38,8.68,
日产,19.14,1.45,9.1,
大众,17.26,6.36,9.3,
雪佛兰,22.03,4.41,10.3,
别克,21.35,3.14,10.48,
日产,20.36,2.71,10.8,
比亚迪,19.03,3.18,10.8,
大众,17.37,4.97,10.9,
别克,30.31,7.72,11.58,
大众,28.43,5.58,11.59,
比亚迪,19.03,3.21,11.8,
奔驰,54.28,7.71,11.9,
比亚迪,18.69,2.87,12.08,
比亚迪,18.13,1.86,12.38,
广汽传祺,21.46,7.29,12.38,
别克,27,6.07,13.4,
零跑汽车,26.09,2.02,13.5,
路虎,49.47,6.94,14.2,
红旗,24.12,2.79,14.96,
大众,45.73,6.02,15.4,
沃尔沃,32.2,1.86,15.7,
奥迪,47.79,3.92,15.98,
凯迪拉克,32.51,2.26,16.1,
比亚迪,26.77,1.55,16.2,
大众,29.54,2.64,16.4,
本田,30.01,4.13,17.3,
本田,31.42,3.06,17.6,
大众,38.1,3.54,17.6,
别克,29.53,3.94,17.6,
别克,40.28,6.75,18.68,
奔驰,49.49,6.76,19.68,
英菲尼迪,39.3,2.47,19.98,
红旗,41.4,8.9,21.4,
本田,34.75,6.36,23,
奔驰,39.5,0.35,31.4,
奥迪,49.58,2.11,32.8,
大众,69.06,5.86,33.8,
奥迪,84.5,5.22,48.03,
宝马,92.08,2.8,52.89,
长安,7.65,1.13,1.6,
长安欧尚,4.86,3.49,2.7,
东风风神,9.86,3.28,4.68,
现代,28.14,10.04,5,
哈弗,12.97,5.46,5.18,
奔腾,12.61,2.56,5.4,
福特,15.6,4.22,6.3,
