品牌,新车价格,里程(万公里),价格
64.0,10.08,5.34,5.08
116.0,17.04,12.1,5.08
19.0,12.97,10.26,5.18
102.0,13.73,9.19,5.58
55.0,12.5,6.74,5.78
59.0,8.88,6.97,5.78
59.0,9.53,5.01,5.98
55.0,17.82,11.41,5.98
96.0,10.4,6.9,6.08
123.0,18.81,9.92,6.78
116.0,12.95,3.49,7.9
59.0,12.51,1.94,8.78
69.0,29.44,9.55,9.18
155.0,22.03,9.92,9.38
59.0,14.73,1.6,9.78
116.0,15.94,1.99,9.78
135.0,15.95,2.35,9.78
80.0,22.56,6.9,9.78
80.0,14.49,0.34,9.98
42.0,21.51,7.19,10.18
25.0,20.03,3.83,11.18
160.0,16.93,3.65,11.78
25.0,24.89,5.26,12.28
64.0,26.99,1.94,15.28
96.0,22.9,4.08,16.36
25.0,24.45,1.15,17.28
116.0,26.54,0.16,17.98
137.0,44.16,7.34,18.18
69.0,39.63,6.76,18.28
80.0,28.42,2.28,20.28
39.0,26.22,3.78,21.58
123.0,36.99,7.38,21.68
125.0,36.98,2.6,22.28
69.0,35.87,2.37,24.98
69.0,250.67,12.01,77.4
59.0,15.63,7.02,6.8
163.0,17.72,1.55,6.9
69.0,31.21,7.94,6.9
91.0,22.24,6.93,7.2
66.0,11.74,0.13,7.48
73.0,31.99,9.68,7.6
39.0,29.2,8.16,7.8
146.0,17.61,3.79,8.3
55.0,15.93,3.45,9.0
63.0,21.45,7.36,9.1
39.0,20.0,1.3,9.2
25.0,16.27,1.58,9.3
96.0,15.94,7.35,9.3
64.0,14.95,0.46,9.5
80.0,14.83,2.98,9.58
102.0,17.92,0.78,10.3
116.0,20.57,4.59,11.0
2.0,19.23,0.01,12.0
91.0,22.9,4.91,12.0
70.0,48.23,8.75,12.2
91.0,27.53,3.73,13.92
70.0,33.63,6.85,14.23
70.0,38.08,7.66,14.3
37.0,32.51,3.74,14.9
64.0,28.54,3.92,14.98
113.0,26.1,5.92,17.0
39.0,32.52,8.47,17.4
160.0,29.43,3.8,17.5
6.0,29.64,2.42,18.6
25.0,31.68,2.25,18.75
5.0,133.68,11.99,20.7
70.0,46.71,2.95,22.8
73.0,44.4,2.29,28.6
69.0,53.12,6.74,28.6
69.0,67.35,8.34,29.6
73.0,99.82,15.03,32.38
69.0,53.41,0.36,43.8
69.0,68.68,0.86,46.8
25.0,63.67,5.87,47.0
73.0,104.39,7.46,52.8
43.0,9.52,4.67,1.5
47.0,20.12,2.86,1.97
74.0,6.75,9.76,2.4
146.0,10.86,3.39,2.8
27.0,6.29,1.67,2.88
102.0,26.98,9.38,3.2
59.0,12.17,2.3,3.9
155.0,21.14,11.11,4.0
146.0,7.76,2.42,4.2
22.0,8.43,3.77,4.35
102.0,31.42,6.27,4.4
74.0,10.05,0.91,4.44
64.0,14.28,3.75,4.5
64.0,16.61,7.96,4.8
6.0,25.35,7.89,5.2
157.0,11.46,0.92,5.88
149.0,12.63,5.49,6.15
96.0,12.5,2.72,6.18
96.0,21.91,11.74,6.2
102.0,11.74,5.88,6.3
91.0,23.28,9.72,6.45
25.0,14.6,2.71,6.58
146.0,19.25,6.61,6.6
167.0,21.35,7.85,6.8
70.0,20.92,10.51,6.8
66.0,11.08,1.67,6.88
91.0,17.48,4.2,6.9
167.0,21.35,7.05,7.2
64.0,19.36,4.08,7.3
64.0,24.78,5.6,7.3
59.0,13.07,4.69,7.8
96.0,28.9,8.03,7.8
39.0,34.8,12.03,8.1
64.0,17.05,3.87,8.3
5.0,19.91,2.55,8.4
73.0,40.18,13.1,8.4
70.0,21.26,5.71,9.0
93.0,20.37,5.31,9.2
64.0,22.12,2.6,9.3
91.0,19.14,3.26,9.8
13.0,22.06,5.36,9.96
102.0,24.76,4.63,10.7
76.0,19.36,3.79,11.2
160.0,17.15,1.21,11.6
156.0,21.79,3.9,11.76
73.0,39.19,12.07,11.9
63.0,18.44,0.67,12.1
160.0,24.01,3.95,13.2
91.0,22.57,2.81,13.68
76.0,26.99,2.1,13.9
73.0,33.29,2.47,14.0
108.0,28.88,5.94,14.4
123.0,44.76,4.55,14.7
91.0,22.57,0.62,14.9
70.0,46.43,10.06,14.9
158.0,44.52,12.43,14.9
37.0,43.62,10.52,15.0
113.0,47.04,3.67,16.7
69.0,55.76,4.51,16.78
25.0,33.39,4.8,18.4
158.0,56.7,6.7,18.4
70.0,35.76,2.55,18.6
108.0,43.73,6.39,19.2
70.0,66.99,8.81,21.8
25.0,36.51,4.99,22.1
69.0,54.23,5.88,23.6
113.0,29.09,2.13,24.36
108.0,47.6,6.0,24.6
69.0,53.01,5.97,25.3
69.0,53.57,3.68,35.38
73.0,77.92,5.87,48.14
30.0,102.58,1.72,55.0
30.0,60.77,1.18,55.5
137.0,172.94,13.49,65.0
69.0,180.92,5.21,177.0
55.0,15.94,6.36,5.1
91.0,12.48,9.81,6.3
96.0,15.94,4.54,7.1
37.0,32.41,6.25,7.44
64.0,24.01,5.7,8.1
146.0,15.95,5.1,8.3
146.0,17.61,3.89,8.5
146.0,15.95,1.68,9.5
70.0,24.1,4.06,11.4
160.0,18.48,3.3,12.1
85.0,38.86,6.88,12.6
30.0,176.19,9.0,34.8
80.0,14.38,10.81,3.6
96.0,9.52,6.4,5.0
99.0,18.35,5.91,5.1
155.0,13.18,2.61,5.99
155.0,21.47,9.34,7.2
25.0,25.89,3.1,8.0
59.0,14.73,2.62,8.3
163.0,22.61,5.64,8.5
25.0,16.71,4.52,8.6
59.0,15.84,3.67,9.3
146.0,19.93,6.8,9.68
91.0,21.24,3.95,12.3
73.0,35.89,10.47,12.4
64.0,19.37,0.8,13.4
25.0,23.9,4.29,13.99
64.0,25.89,4.25,16.8
6.0,31.97,1.28,20.4
69.0,60.75,2.37,27.6
73.0,47.59,2.48,28.4
5.0,65.35,2.1,32.8
64.0,84.35,7.69,40.8
30.0,134.01,4.28,88.5
55.0,5.99,2.56,1.2
59.0,9.09,7.19,2.3
43.0,7.75,1.93,2.4
25.0,8.85,3.47,2.4
99.0,20.57,8.93,3.2
74.0,6.75,3.02,3.3
155.0,11.52,3.05,4.0
64.0,15.05,4.65,5.9
102.0,13.72,5.1,6.05
25.0,13.28,5.32,6.6
73.0,25.44,5.16,8.9
25.0,14.05,1.53,9.0
57.0,8.94,6.01,0.6
27.0,5.28,0.59,2.6
135.0,6.54,1.96,2.6
47.0,26.99,6.51,2.76
123.0,13.72,6.92,3.3
57.0,7.98,0.33,5.0
96.0,9.96,6.34,5.0
64.0,18.93,6.24,6.3
108.0,40.31,8.74,7.6
64.0,23.34,3.89,9.2
146.0,19.26,0.51,11.38
73.0,38.08,4.64,15.55
64.0,29.98,6.11,16.0
6.0,30.3,0.86,18.0
5.0,60.23,7.41,34.8
137.0,196.16,7.55,63.0
137.0,220.48,6.29,66.0
101.0,9.28,1.6,5.4
59.0,13.63,6.35,5.6
58.0,15.49,2.75,5.9
64.0,15.28,6.74,5.9
64.0,12.5,3.07,6.0
96.0,9.52,6.74,6.0
64.0,24.78,13.39,6.8
102.0,14.38,0.8,7.8
64.0,17.6,8.14,8.0
70.0,21.92,6.82,9.32
64.0,17.41,4.09,10.0
64.0,19.92,5.21,10.5
125.0,19.59,1.67,10.6
64.0,17.71,2.69,10.88
64.0,24.57,1.77,13.2
64.0,28.54,7.58,13.89
69.0,39.63,8.6,15.4
25.0,24.82,0.26,19.7
64.0,9.63,6.01,2.5
156.0,15.51,5.48,2.64
149.0,6.41,4.23,3.7
129.0,7.97,1.22,3.72
129.0,15.27,7.46,4.08
135.0,9.3,5.52,4.56
101.0,8.62,2.31,4.88
59.0,9.1,4.85,5.52
64.0,15.28,3.85,5.6
101.0,9.83,3.22,5.62
39.0,14.39,4.35,5.78
13.0,17.04,7.19,5.8
108.0,34.78,11.43,6.3
64.0,28.65,9.47,6.7
155.0,21.47,9.32,7.0
135.0,18.04,6.73,7.1
55.0,11.52,1.62,7.16
64.0,15.28,6.79,7.18
146.0,19.25,9.24,7.4
129.0,14.94,1.48,7.78
64.0,22.58,10.0,7.8
64.0,15.84,2.11,8.08
160.0,17.48,5.0,8.1
91.0,14.84,0.6,8.2
39.0,27.66,9.89,8.3
13.0,15.94,0.29,8.38
89.0,15.94,4.01,8.4
6.0,20.92,5.79,8.4
91.0,15.28,2.4,8.68
64.0,17.71,4.12,8.68
59.0,16.27,2.02,8.8
13.0,21.73,11.74,8.84
64.0,17.52,3.57,9.2
146.0,12.4,0.47,9.39
39.0,30.97,6.78,9.5
88.0,27.92,6.86,9.6
91.0,22.24,7.62,9.6
101.0,19.15,1.34,9.9
70.0,31.35,6.63,10.0
96.0,17.38,2.31,10.1
96.0,17.05,2.95,10.28
146.0,13.07,0.19,10.49
59.0,17.84,5.04,10.49
42.0,22.61,6.2,10.7
64.0,27.45,7.1,10.7
64.0,18.04,2.44,10.78
70.0,24.67,5.63,10.88
96.0,18.82,3.24,11.0
69.0,26.88,5.71,11.0
37.0,30.75,4.48,11.1
102.0,15.49,0.02,11.34
55.0,14.7,0.05,11.4
125.0,20.8,3.45,12.1
39.0,22.58,1.42,12.2
54.0,18.9,3.13,12.3
64.0,18.82,3.17,12.3
59.0,17.72,0.58,12.7
123.0,21.79,2.45,12.7
146.0,13.29,1.4,12.96
64.0,16.98,2.7,13.2
146.0,23.46,0.05,13.5
70.0,22.93,1.11,13.98
91.0,21.35,0.17,15.5
96.0,23.89,3.17,15.5
64.0,31.98,7.93,15.58
70.0,46.43,10.67,16.4
96.0,22.58,1.13,17.04
158.0,44.52,4.76,18.3
80.0,25.77,0.61,19.4
70.0,46.71,14.67,19.5
70.0,38.53,5.74,19.6
37.0,39.18,6.65,20.4
73.0,84.34,18.95,23.57
73.0,47.59,4.28,24.12
73.0,38.87,2.85,25.6
25.0,37.0,2.76,27.6
39.0,44.7,3.82,28.4
25.0,106.97,4.27,60.0
39.0,14.5,9.24,4.0
59.0,15.6,5.3,4.3
129.0,15.82,5.82,4.9
116.0,13.72,9.73,5.5
125.0,19.59,1.85,9.8
102.0,29.2,8.67,11.4
102.0,17.92,2.71,12.0
25.0,25.49,0.04,22.6
30.0,62.23,5.59,23.0
70.0,32.85,0.01,24.4
70.0,36.09,0.04,26.6
108.0,45.5,0.01,31.4
70.0,47.04,0.04,36.3
70.0,47.04,0.05,36.3
25.0,39.98,0.04,36.6
25.0,39.98,0.04,36.8
70.0,44.46,0.05,36.8
73.0,54.35,0.13,37.8
70.0,99.06,0.01,79.8
147.0,7.21,9.8,0.7
19.0,10.42,5.46,2.66
114.0,12.61,3.99,3.4
64.0,10.08,7.9,3.8
96.0,10.29,6.14,4.4
64.0,17.15,11.39,4.6
60.0,8.08,1.44,5.0
96.0,24.82,11.64,5.0
25.0,9.96,2.93,5.2
91.0,15.4,9.39,5.2
25.0,14.27,6.96,6.3
116.0,16.61,7.77,6.3
64.0,13.96,6.65,6.6
25.0,14.27,3.63,6.8
158.0,31.33,11.59,6.9
91.0,14.84,2.66,7.1
55.0,14.5,6.11,7.2
129.0,19.25,7.24,7.2
25.0,13.72,2.78,7.5
64.0,17.6,4.17,7.8
110.0,15.93,1.11,8.47
39.0,21.29,3.62,8.48
146.0,15.06,5.05,8.56
96.0,15.94,5.83,9.2
25.0,17.82,4.31,9.7
37.0,39.2,8.67,11.0
145.0,20.03,2.72,13.3
96.0,20.35,4.44,13.9
69.0,44.52,11.07,13.95
25.0,22.57,2.43,14.8
102.0,32.51,4.68,14.9
37.0,29.19,1.69,15.19
42.0,22.03,3.43,15.4
62.0,22.13,1.92,16.2
25.0,25.49,4.37,16.32
125.0,25.44,0.01,17.4
158.0,33.43,3.41,17.4
158.0,32.76,4.23,17.4
25.0,27.26,4.76,17.4
25.0,24.56,0.01,17.6
62.0,25.14,1.58,21.2
62.0,24.34,0.32,21.9
64.0,30.1,0.01,22.6
98.0,31.42,0.03,26.1
37.0,38.29,0.01,26.4
70.0,45.82,9.9,26.4
69.0,68.26,14.97,26.4
25.0,43.76,8.61,27.4
91.0,62.48,12.03,27.8
25.0,43.76,9.57,27.9
69.0,38.94,6.33,29.1
39.0,35.64,0.98,29.2
96.0,36.85,0.02,29.4
96.0,36.65,0.01,29.6
108.0,44.4,0.02,29.6
25.0,37.0,1.2,29.7
127.0,37.61,1.78,30.4
96.0,37.18,0.03,30.6
69.0,37.35,0.07,32.3
91.0,69.22,8.52,32.9
25.0,39.98,0.87,35.0
80.0,41.37,0.02,35.2
25.0,51.2,5.02,35.3
25.0,46.43,7.96,36.8
25.0,56.1,4.37,38.8
118.0,47.99,0.02,40.0
25.0,74.86,7.81,40.8
25.0,61.49,4.97,45.8
25.0,61.49,5.09,45.8
123.0,64.16,6.94,56.5
137.0,87.82,1.36,57.0
25.0,89.06,7.75,58.0
25.0,106.97,5.44,65.5
137.0,196.16,10.12,71.0
25.0,75.46,5.59,73.0
70.0,99.06,0.01,77.8
137.0,151.38,9.29,93.0
158.0,148.92,6.05,132.0
158.0,162.99,4.9,151.0
15.0,7.87,5.98,2.8
55.0,8.74,4.71,3.4
48.0,16.27,0.01,5.2
64.0,32.74,11.04,5.78
91.0,14.06,2.6,6.74
55.0,15.49,5.62,6.9
25.0,14.83,5.53,7.26
59.0,12.75,3.69,7.3
64.0,15.94,3.75,7.3
59.0,12.06,1.51,7.8
25.0,15.27,4.21,7.8
145.0,12.07,5.3,8.1
25.0,14.6,0.64,8.13
129.0,14.94,3.13,8.3
25.0,22.57,4.77,8.3
25.0,25.43,2.82,8.7
64.0,17.71,3.85,8.8
66.0,15.94,1.41,8.9
101.0,15.92,0.62,9.58
64.0,18.37,3.99,9.7
91.0,22.52,7.09,10.8
64.0,16.98,3.97,11.8
39.0,26.99,7.13,12.2
64.0,19.37,1.52,13.3
123.0,44.75,2.37,13.9
64.0,24.9,8.05,13.9
70.0,46.15,12.54,15.78
39.0,30.31,2.18,16.1
64.0,24.79,1.98,17.68
69.0,39.3,6.98,17.9
69.0,39.29,5.69,19.9
69.0,44.16,7.0,20.4
96.0,34.75,5.79,22.1
113.0,44.16,3.22,26.19
69.0,55.67,8.19,38.5
145.0,7.54,8.93,1.32
19.0,5.89,2.87,1.6
19.0,6.66,3.42,1.68
116.0,9.2,4.74,1.92
102.0,14.84,8.54,2.52
39.0,10.63,8.04,2.64
57.0,9.19,4.4,2.7
123.0,13.06,8.36,3.2
129.0,7.97,0.76,3.8
86.0,10.73,2.88,4.1
101.0,8.62,6.85,4.2
64.0,13.95,8.2,4.5
60.0,7.41,3.65,4.7
157.0,7.08,0.21,4.8
64.0,15.28,7.81,4.9
116.0,17.04,7.39,5.0
102.0,12.63,4.77,5.43
96.0,9.96,3.15,5.6
68.0,13.06,2.61,5.8
64.0,15.28,4.84,5.88
55.0,13.73,3.58,5.9
64.0,13.29,1.33,6.0
155.0,19.26,6.06,6.0
64.0,13.29,3.28,6.7
129.0,13.17,2.05,6.8
86.0,12.28,2.02,7.2
89.0,19.92,6.6,7.3
91.0,14.39,0.82,7.5
6.0,20.92,6.78,7.56
129.0,14.94,4.1,7.7
59.0,12.51,2.18,7.8
5.0,29.25,6.13,7.98
64.0,15.94,5.63,8.0
64.0,17.71,6.86,8.17
70.0,25.45,5.55,8.3
64.0,15.61,5.67,8.5
39.0,29.2,5.38,8.7
64.0,17.16,3.99,8.99
64.0,17.52,4.46,9.25
37.0,32.96,9.73,9.28
123.0,27.77,6.87,9.3
64.0,19.92,8.07,9.37
39.0,21.35,2.61,9.76
25.0,17.15,5.03,9.8
63.0,17.89,3.14,10.1
64.0,18.74,4.41,10.1
23.0,14.88,0.06,10.9
80.0,17.04,1.38,10.9
146.0,15.95,4.6,10.9
69.0,29.88,5.24,10.9
96.0,17.49,3.1,11.0
73.0,43.08,4.19,11.48
64.0,17.04,4.08,11.78
25.0,37.26,16.14,11.99
64.0,27.89,1.9,12.0
96.0,21.79,2.92,12.0
64.0,28.55,3.33,12.24
64.0,21.14,7.68,12.5
129.0,23.66,0.93,12.6
137.0,44.16,7.84,13.4
69.0,25.88,6.13,13.47
76.0,30.64,1.51,14.4
70.0,47.79,13.67,14.4
64.0,26.34,3.94,16.3
98.0,29.2,6.77,16.4
113.0,29.09,0.01,24.7
69.0,33.62,1.51,25.1
96.0,35.08,3.91,25.4
96.0,35.08,1.62,26.07
69.0,47.59,7.35,26.4
70.0,46.93,4.94,28.1
70.0,101.27,13.67,29.4
69.0,44.5,5.82,31.28
69.0,44.5,3.7,31.7
108.0,70.62,8.5,31.8
70.0,50.29,2.95,32.8
25.0,37.44,4.14,32.8
69.0,107.35,5.89,40.3
108.0,71.17,1.22,43.6
145.0,7.65,5.88,0.96
80.0,14.17,9.81,1.2
39.0,16.8,9.1,2.04
47.0,6.63,1.7,2.1
80.0,19.7,5.81,2.22
15.0,9.64,7.69,2.5
154.0,16.82,9.28,2.5
123.0,13.23,10.58,2.64
15.0,9.64,9.1,2.76
19.0,7.78,2.63,3.6
15.0,10.41,3.5,3.93
64.0,11.96,3.5,4.7
116.0,16.26,6.72,5.2
55.0,11.51,6.92,5.2
59.0,15.94,5.95,5.4
156.0,19.24,4.53,6.72
13.0,21.51,9.78,7.8
54.0,18.46,5.06,9.0
123.0,28.1,8.69,9.3
63.0,18.57,4.45,9.84
96.0,21.46,4.46,12.4
160.0,18.82,0.73,13.4
96.0,21.46,0.45,14.4
73.0,55.75,11.76,15.0
80.0,21.79,1.56,18.2
123.0,41.44,1.83,22.8
158.0,35.22,3.14,25.6
146.0,7.43,6.9,1.56
116.0,11.51,7.94,1.68
156.0,9.74,8.16,1.76
64.0,9.31,7.78,2.46
155.0,10.52,9.09,2.5
116.0,5.99,7.09,3.0
104.0,10.29,4.98,3.1
102.0,10.75,3.29,3.2
89.0,11.52,7.71,3.3
123.0,14.28,10.0,3.5
123.0,14.38,5.59,3.6
123.0,14.6,6.48,3.7
27.0,6.63,1.68,3.8
55.0,17.82,8.16,4.03
167.0,17.06,6.55,4.1
123.0,15.82,3.55,4.38
102.0,13.74,7.91,4.5
74.0,11.07,4.23,4.56
59.0,13.3,2.13,4.92
135.0,16.04,4.92,5.4
68.0,13.83,7.09,5.4
55.0,12.5,3.5,5.66
57.0,13.72,2.52,5.74
13.0,16.59,3.72,5.76
96.0,15.6,7.82,6.18
22.0,14.39,3.55,6.3
86.0,11.84,4.25,6.39
64.0,18.93,8.73,6.62
39.0,16.27,7.91,6.69
64.0,17.6,8.35,6.7
64.0,18.25,7.78,7.05
146.0,10.41,0.28,7.2
86.0,13.61,0.47,7.3
64.0,18.58,7.23,7.37
146.0,13.07,2.42,7.5
63.0,14.38,7.32,8.4
64.0,15.94,4.83,8.63
163.0,22.57,6.78,9.59
135.0,16.5,3.25,10.3
73.0,31.85,5.76,10.3
69.0,30.53,9.51,10.7
70.0,45.82,15.92,11.7
64.0,26.45,8.56,11.8
59.0,16.71,0.16,12.8
98.0,33.63,5.65,13.3
157.0,24.32,2.6,14.2
37.0,32.51,6.29,14.4
157.0,26.09,2.75,15.3
101.0,26.98,2.23,16.4
96.0,24.78,3.44,16.4
69.0,34.1,0.64,17.9
73.0,38.08,3.89,17.9
123.0,30.31,1.01,19.4
69.0,55.76,2.05,19.8
69.0,40.39,3.99,24.5
69.0,56.12,4.79,27.8
69.0,56.12,3.23,34.0
73.0,99.82,7.57,42.0
69.0,66.4,4.61,45.8
74.0,10.42,6.61,2.64
64.0,15.49,9.46,3.3
64.0,14.17,3.78,3.6
129.0,13.72,4.16,3.6
129.0,14.71,3.83,4.5
146.0,8.2,1.24,4.7
87.0,12.4,5.93,5.6
80.0,17.04,6.0,6.1
37.0,31.4,5.1,11.4
73.0,34.1,6.56,12.8
42.0,20.36,0.66,15.12
25.0,22.57,1.23,16.0
110.0,12.29,10.49,1.08
144.0,4.65,1.31,1.8
156.0,13.06,7.02,2.1
155.0,7.54,5.59,2.6
123.0,12.62,7.47,2.6
156.0,9.74,6.07,2.7
155.0,10.3,6.97,3.7
116.0,14.6,9.77,3.7
59.0,14.38,7.76,4.2
86.0,8.52,1.5,4.8
64.0,10.19,2.95,5.0
116.0,16.59,5.99,5.9
66.0,10.08,3.02,6.1
155.0,18.71,4.3,6.1
64.0,13.62,5.53,6.54
39.0,18.82,5.06,6.8
59.0,12.97,5.35,6.86
64.0,16.27,5.28,6.9
64.0,15.84,3.74,7.6
73.0,35.89,11.05,8.4
146.0,15.06,3.7,9.03
64.0,27.45,7.83,9.2
146.0,15.06,2.05,9.9
163.0,22.46,6.42,10.1
59.0,15.5,1.69,10.3
39.0,30.31,7.38,10.3
55.0,17.47,0.75,11.4
108.0,35.76,8.75,12.4
42.0,20.36,2.16,12.7
80.0,15.93,1.46,13.0
64.0,26.78,9.33,14.0
73.0,33.29,5.19,14.7
85.0,50.8,7.39,16.0
62.0,24.12,2.26,18.19
64.0,40.28,6.23,23.26
69.0,59.77,7.09,40.3
70.0,53.57,0.01,42.8
64.0,9.94,9.91,3.0
96.0,25.93,17.23,3.1
89.0,10.52,8.43,3.8
64.0,16.48,5.49,4.9
135.0,13.61,3.26,5.2
91.0,19.03,8.95,6.6
163.0,21.58,12.51,6.9
70.0,37.42,7.57,7.8
91.0,17.93,5.25,8.5
96.0,17.71,6.88,8.7
39.0,26.22,6.76,14.36
64.0,26.27,4.7,15.3
25.0,12.4,14.84,1.7
89.0,8.42,4.75,3.72
64.0,10.19,6.1,4.57
71.0,23.38,7.42,5.2
59.0,9.54,1.99,5.58
64.0,12.75,7.86,5.6
64.0,18.15,15.07,5.75
91.0,15.99,4.78,6.0
55.0,8.53,0.63,6.2
91.0,15.71,2.33,6.2
59.0,15.5,4.99,9.5
25.0,24.82,5.81,15.0
25.0,33.07,8.29,15.2
110.0,6.42,12.89,1.2
155.0,8.64,5.2,2.1
146.0,5.97,0.23,3.5
39.0,16.72,4.52,5.2
25.0,9.96,0.81,5.8
64.0,17.6,4.29,5.9
59.0,15.94,5.2,5.9
91.0,14.17,4.52,7.5
64.0,26.11,8.6,7.6
160.0,17.6,3.65,9.5
73.0,36.55,11.72,11.7
108.0,45.49,8.73,15.58
63.0,32.15,0.88,20.0
25.0,124.85,6.82,87.0
116.0,10.4,15.58,0.6
146.0,7.65,2.21,1.3
155.0,13.95,12.59,2.4
135.0,16.93,8.88,2.6
123.0,11.41,4.67,3.85
55.0,11.18,7.47,4.7
146.0,10.52,0.76,5.15
25.0,13.5,7.7,6.1
59.0,14.74,6.75,6.8
116.0,17.04,3.02,6.88
86.0,11.84,2.99,6.9
102.0,13.6,3.47,7.2
135.0,13.28,6.75,7.8
55.0,12.63,1.19,8.3
135.0,15.95,4.84,8.3
73.0,25.44,6.18,8.9
64.0,16.05,4.43,9.0
91.0,21.13,2.95,9.3
64.0,23.69,10.44,9.3
64.0,16.83,1.87,9.5
25.0,15.49,1.9,9.5
167.0,21.35,1.41,9.9
59.0,16.05,4.22,9.9
39.0,21.35,2.32,10.9
125.0,20.36,0.02,14.98
64.0,26.27,5.43,15.9
88.0,26.88,2.99,15.98
64.0,41.28,7.76,16.4
62.0,24.12,5.19,18.4
102.0,38.37,2.31,22.6
69.0,53.57,2.81,43.1
30.0,134.01,0.99,111.0
39.0,15.93,12.22,1.08
21.0,10.4,11.1,1.3
28.0,8.17,4.34,1.9
27.0,4.61,2.79,2.2
64.0,8.87,6.76,2.5
89.0,15.94,5.07,4.5
96.0,9.52,5.63,5.5
70.0,34.77,13.52,7.8
73.0,34.1,7.14,11.8
96.0,22.56,12.26,13.4
70.0,30.53,4.74,16.7
73.0,55.75,12.78,16.8
73.0,39.62,2.63,17.9
69.0,66.6,12.13,20.4
25.0,43.76,9.27,25.6
146.0,8.2,6.58,2.1
66.0,6.77,4.17,2.4
104.0,7.97,5.47,2.6
64.0,12.39,7.41,2.7
18.0,8.61,0.96,4.0
91.0,12.61,8.63,4.0
96.0,14.83,8.79,4.2
74.0,10.05,0.68,4.8
64.0,17.6,8.9,5.4
146.0,10.86,2.47,5.5
25.0,14.27,9.3,5.6
39.0,13.73,3.91,5.9
59.0,13.63,5.76,6.0
102.0,12.16,2.46,6.6
96.0,15.71,6.0,6.6
25.0,14.83,4.69,7.1
96.0,20.36,8.22,7.1
102.0,12.07,1.59,7.3
25.0,17.04,5.95,7.6
25.0,14.71,2.45,7.9
39.0,26.99,8.53,8.5
91.0,17.61,1.35,9.6
70.0,21.33,4.71,9.6
91.0,26.92,7.36,10.1
98.0,45.71,3.56,16.4
70.0,31.3,2.4,17.4
96.0,22.9,0.77,17.6
69.0,36.62,4.59,19.4
70.0,35.76,5.9,19.6
70.0,38.53,6.95,19.6
69.0,55.77,9.72,25.6
70.0,48.48,5.62,29.2
69.0,50.02,7.6,30.4
69.0,50.8,2.73,36.8
69.0,81.89,1.27,62.3
147.0,7.66,5.73,2.4
74.0,8.2,5.24,2.64
18.0,7.06,2.28,3.7
116.0,7.76,2.22,4.4
59.0,9.32,2.26,4.68
64.0,15.05,9.76,5.7
91.0,17.93,6.67,7.8
64.0,18.82,8.63,8.3
145.0,17.04,3.0,9.6
63.0,18.57,3.08,10.8
102.0,23.66,0.74,16.38
113.0,26.1,0.16,20.9
46.0,8.2,5.03,1.68
74.0,5.98,3.79,2.38
27.0,5.3,1.37,2.4
135.0,15.27,8.8,2.8
55.0,11.74,9.44,3.65
66.0,8.09,7.75,3.68
156.0,13.72,6.71,3.72
55.0,8.74,6.54,3.96
135.0,16.93,12.0,3.96
74.0,10.4,1.21,4.3
155.0,14.28,5.49,4.58
89.0,10.41,5.63,5.38
59.0,15.94,8.19,5.4
64.0,24.78,12.56,5.48
91.0,15.06,6.91,5.76
39.0,23.68,9.69,5.77
25.0,13.5,5.37,6.0
163.0,17.37,6.35,6.72
91.0,12.48,1.21,6.8
163.0,15.94,4.27,6.96
102.0,13.49,2.24,7.88
102.0,14.15,0.92,9.0
39.0,20.0,1.3,9.1
64.0,18.47,1.02,10.3
98.0,31.97,5.36,10.56
102.0,17.92,4.11,10.58
96.0,23.01,5.76,12.9
70.0,25.88,1.34,15.4
64.0,23.25,1.61,16.0
96.0,30.01,3.83,17.2
69.0,38.28,6.45,26.1
113.0,39.18,1.24,29.1
137.0,92.22,9.8,32.3
91.0,62.48,6.33,33.3
25.0,46.43,5.2,34.2
70.0,95.41,7.84,43.3
69.0,105.69,4.69,70.0
91.0,9.96,8.41,2.5
15.0,7.98,4.22,3.2
64.0,8.87,6.92,3.2
59.0,12.39,4.27,3.8
146.0,10.41,2.31,4.4
123.0,15.82,10.38,4.5
59.0,10.41,5.23,4.52
74.0,10.18,4.04,4.8
146.0,10.3,2.82,4.88
55.0,12.61,5.82,5.52
117.0,19.79,5.81,6.3
39.0,30.32,13.93,6.6
89.0,23.68,7.73,8.8
73.0,34.77,6.98,13.5
25.0,38.23,2.95,16.0
91.0,30.31,1.97,16.4
108.0,45.49,4.15,17.9
25.0,39.54,5.89,29.1
144.0,5.54,7.48,0.96
155.0,7.76,8.01,1.68
135.0,9.09,5.85,2.2
55.0,9.3,10.23,2.4
104.0,7.97,6.3,2.63
123.0,11.18,5.61,2.64
74.0,12.5,8.66,3.36
43.0,7.1,1.62,3.4
39.0,13.73,10.59,3.6
147.0,5.97,1.33,3.7
155.0,10.4,1.71,4.32
129.0,15.82,4.51,4.4
64.0,10.19,4.65,4.53
116.0,22.24,9.5,4.68
91.0,22.24,8.35,6.9
96.0,15.71,6.3,7.2
80.0,13.72,4.69,7.3
96.0,15.17,5.04,8.1
116.0,20.36,6.04,8.4
91.0,19.14,4.38,9.5
64.0,20.38,6.63,9.98
39.0,21.47,2.72,11.4
64.0,19.89,1.87,12.4
64.0,26.78,8.58,14.5
69.0,47.95,10.89,19.58
96.0,36.85,6.36,22.9
6.0,33.49,0.46,24.58
116.0,12.61,7.49,1.9
114.0,14.83,3.4,3.0
